,video_id,video_title,video_date,comment_text,comment_date
0,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Ketika jabatan publicbdi duduki orang yg tidak pantas,2024-09-29T07:32:29Z
1,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Putra Bajingan,2024-09-29T00:50:27Z
2,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Bocah gak ada prestasi, jualan pisang aja gagal. Mau jadi wagub",2024-09-28T22:32:50Z
3,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Kluarga ODGJ genk para pndusta yg pemuja uang haram....,2024-09-28T22:30:37Z
4,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Anak Jokowi semakin merasa yang paling memiliki Indonesia,2024-09-28T21:28:03Z
5,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Bawa nama publik, publik mana?😂😂😂 Jokowi terbanyak publikx😂😂😂😂",2024-09-28T14:23:47Z
6,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"BAGUSNYA SULTAN YG PKE ROMPI INI, MENAMBAHKAN KATA2,, ANAKNYA MULYONO SANG PENGUASA, YG SUCCES MEMBANGUN DINASTI KELUARGANYA 😇😇😇😇😇😇😇😇 👍👍👍👍👍👍👍👍",2024-09-28T11:49:45Z
7,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Korban mulyono..,2024-09-28T04:44:15Z
8,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Ibarat apabila kita diejek dgn julukan yg kita tdk suka tp kita tdk menunjukan amarah dgn julukan itu malah terlihat santai dgn julukan itu padahal dlm hati luar biasa marahnya.. maka sang pengejek tdk akan menjuluki kita dgn julukan tersebut lg.. maka strategi mengelabuhi kita bs disebut berhasil..
Strategi itu jg yg dipakai samsul n mulyono beserta keluarga..
Tp jgn kemakan oleh strategi tersebut kita tetap panggil mereka dgn SAMSUL & MULYONO + FUFUFAFA 😆😂",2024-09-28T04:05:21Z
9,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Mul Mul jng lari dari nebeng jet pribadi hhhhhhh,2024-09-28T03:00:41Z
